file,source,source_prop,instrumentation,instrumentation_prop,novelty,novelty_prop,timing,timing_prop
1,Live,0.034733427,Vocal,0.071034185,Novel,0.030164994,Before,0.060669364
2,Live,0.035721428,Vocal,0.03865619,Novel,0.066538735,Before,0.030209301
3,Live,0.037263929,Vocal,0.043520409,Novel,0.017684478,Before,0.029158812
4,Live,0.045136087,Vocal,0.045136087,Novel,NA,Before,0.05240285
5,Live,0.064600994,Vocal,0.064600994,Novel,0.240747533,Before,0.293978688
6,Live,0.06602007,Vocal,0.065803642,Novel,0.087788966,Before,0.10165072
7,Live,0.112720029,Vocal,0.122483926,Novel,0.193208667,Before,0.202366699
8,Live,0.116723289,Vocal,0.118747939,Novel,0.069546284,Before,0.061164728
9,Live,0.145879101,Vocal,0.145879101,Novel,0.163110497,Before,0.049525366
10,Live,0.14686443,Vocal,0.169647658,Novel,0.090309585,Before,0.07535417
11,Live,0.173390443,Vocal,0.166111051,Novel,0.148161385,Before,0.14668959
12,Live,0.201666572,Vocal,0.207327057,Novel,0.320014663,Before,0.31571402
13,Live,0.211455808,Vocal,0.211455808,Novel,0.388236075,Before,0.495577168
14,Live,0.230454631,Vocal,0.236295415,Novel,0.324585525,Before,0.266490578
15,Live,0.237648794,Vocal,NA,Novel,0.47356224,Before,0.423874715
16,Live,0.23892186,Vocal,0.23892186,Novel,0.270419584,Before,0.279870027
17,Live,0.248270277,Vocal,0.237777748,Novel,0.283566674,Before,0.250728501
18,Live,0.255592422,Vocal,0.401960784,Novel,0.199210039,Before,0.200233567
19,Live,0.27168582,Vocal,0.27168582,Novel,0.349083308,Before,0.331855389
20,Live,0.271763065,Vocal,0.271763065,Novel,0.165572096,Before,0.024658137
21,Live,0.295857389,Vocal,0.30366982,Novel,0.38314312,Before,0.201840079
22,Live,0.332958909,Vocal,0.332958909,Novel,0.430957843,Before,0.297594692
23,Live,0.347575372,Vocal,0.347575372,Novel,0.270651346,Before,0.262676572
24,Live,0.356954225,Vocal,0.387482083,Novel,0.308139535,Before,0.356932153
25,Live,0.357434135,Vocal,0.33396969,Novel,0.361746348,Before,0.263254827
26,Live,0.413407572,Vocal,0.413407572,Novel,0.345332885,Before,0.36781528
27,Live,0.442989929,Vocal,0.442989929,Novel,0.241401687,Before,0.36168148
28,Live,0.455451181,Vocal,0.455451181,Novel,0.106050306,Before,NA
29,Live,0.573074367,Vocal,0.662957075,Novel,0.599769558,Before,0.510965826
30,Live,0.61395042,Vocal,0.591249001,Novel,0.564085707,Before,0.59180566
31,Live,0.617284166,Vocal,0.594531221,Novel,0.416216216,Before,0.69975817
32,Live,NA,Vocal,NA,Novel,0.05952588,Before,0.023449004
33,Live,NA,Vocal,NA,Novel,NA,Before,0.021531686
34,Live,NA,Vocal,NA,Novel,NA,Before,NA
35,Live,NA,Vocal,NA,Novel,0.276565831,Before,0.145954515
1,Recorded,0.073083083,Instrumental,0.048986761,Repeated,0.057081946,After,0.011207427
2,Recorded,0.026195462,Instrumental,0.022411993,Repeated,0.04169111,After,0.046333333
3,Recorded,0.039657093,Instrumental,0.048457905,Repeated,0.046602828,After,0.072664596
4,Recorded,0.048363656,Instrumental,0.050919369,Repeated,0.052364958,After,NA
5,Recorded,0.299787182,Instrumental,0.253161362,Repeated,0.312148439,After,0.227419242
6,Recorded,0.13804161,Instrumental,0.16296579,Repeated,0.084260555,After,0.04668843
7,Recorded,0.191533282,Instrumental,0.197882891,Repeated,0.193539584,After,0.213278725
8,Recorded,0.110112948,Instrumental,0.091343284,Repeated,0.124597788,After,0.221541643
9,Recorded,0.215508196,Instrumental,0.215508196,Repeated,0.164934391,After,0.280504806
10,Recorded,NA,Instrumental,NA,Repeated,0.066801833,After,0.052970615
